Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2019,2.375,7.697,0.420,52.400,0.394,-0.108,0.924,0.351,0.502
Albania,2019,4.995,9.544,0.686,69.000,0.777,-0.099,0.914,0.681,0.274
Algeria,2019,4.745,9.337,0.803,66.100,0.385,0.005,0.741,0.585,0.215
Argentina,2019,6.086,10.000,0.896,69.000,0.817,-0.211,0.830,0.826,0.319
Armenia,2019,5.488,9.522,0.782,67.200,0.844,-0.172,0.583,0.598,0.430
Australia,2019,7.234,10.815,0.943,73.900,0.918,0.121,0.430,0.770,0.202
Austria,2019,7.195,10.939,0.964,73.300,0.903,0.060,0.457,0.774,0.205
Azerbaijan,2019,5.173,9.575,0.887,65.800,0.854,-0.214,0.457,0.643,0.164
Bahrain,2019,7.098,10.715,0.878,69.300,0.907,0.048,,0.762,0.317
Bangladesh,2019,5.114,8.467,0.673,64.800,0.902,-0.051,0.656,0.537,0.369
Belarus,2019,5.821,9.860,0.917,66.400,0.657,-0.186,0.546,0.591,0.190
Belgium,2019,6.772,10.853,0.884,72.200,0.776,-0.172,0.672,0.733,0.244
Benin,2019,4.976,8.098,0.442,54.700,0.770,-0.016,0.698,0.659,0.441
Bolivia,2019,5.674,9.074,0.784,63.900,0.881,-0.086,0.857,0.751,0.419
Bosnia and Herzegovina,2019,6.016,9.609,0.873,68.100,0.722,0.079,0.963,0.633,0.238
Botswana,2019,3.471,9.785,0.774,59.600,0.833,-0.239,0.792,0.712,0.273
Brazil,2019,6.451,9.592,0.899,66.600,0.830,-0.062,0.762,0.761,0.337
Bulgaria,2019,5.108,10.047,0.948,67.000,0.822,-0.109,0.943,0.663,0.200
Burkina Faso,2019,4.741,7.691,0.683,54.400,0.678,-0.004,0.729,0.691,0.365
Cambodia,2019,4.998,8.387,0.759,62.000,0.957,0.013,0.828,0.844,0.390
Cameroon,2019,4.937,8.203,0.711,53.500,0.712,-0.008,0.817,0.629,0.326
Canada,2019,7.109,10.800,0.925,73.800,0.912,0.112,0.436,0.822,0.285
Chad,2019,4.251,7.365,0.640,48.700,0.537,0.055,0.832,0.587,0.460
Chile,2019,5.942,10.095,0.869,70.000,0.659,-0.103,0.860,0.809,0.337
China,2019,5.144,9.688,0.822,69.600,0.927,-0.173,,0.891,0.147
Colombia,2019,6.350,9.598,0.873,68.000,0.822,-0.172,0.854,0.822,0.322
Comoros,2019,4.609,8.033,0.632,57.500,0.538,0.077,0.762,0.736,0.336
Congo (Brazzaville),2019,5.213,8.101,0.625,58.500,0.686,-0.046,0.741,0.645,0.405
Costa Rica,2019,6.998,9.885,0.906,71.500,0.927,-0.146,0.836,0.848,0.303
Croatia,2019,5.626,10.258,0.936,70.800,0.739,-0.137,0.932,0.551,0.269
Cyprus,2019,6.137,10.585,0.776,73.900,0.740,-0.008,0.865,0.763,0.290
Denmark,2019,7.693,10.954,0.958,72.700,0.963,0.020,0.174,0.862,0.181
Dominican Republic,2019,6.004,9.821,0.884,66.100,0.877,-0.123,0.746,0.784,0.264
Ecuador,2019,5.809,9.339,0.808,68.800,0.830,-0.115,0.839,0.811,0.374
Egypt,2019,4.328,9.373,0.772,62.000,0.774,-0.199,,0.517,0.313
El Salvador,2019,6.455,9.080,0.764,66.400,0.877,-0.109,0.682,0.871,0.271
Estonia,2019,6.035,10.511,0.934,68.800,0.887,-0.096,0.576,0.804,0.156
Ethiopia,2019,4.100,7.705,0.748,59.000,0.754,0.053,0.732,0.631,0.283
